last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Matz, Steven,571927,,56.1,,1.8,27.4,14.8,,,,
Urías, Julio,628711,45.1,,9.2,,15.7,,,,,30.0
Wells, Tyler,669330,37.2,,20.0,16.3,18.6,8.0,,,,
France, J.P.,641585,41.7,,19.2,,15.4,13.7,,,10.0,
Greinke, Zack,425844,26.2,16.0,7.9,19.7,16.3,13.9,,,,
Eovaldi, Nathan,543135,37.6,,17.8,3.5,,13.5,27.6,,,
Senga, Kodai,673540,48.2,,33.1,6.9,,3.6,,,8.2,
McClanahan, Shane,663556,41.9,,,15.3,25.8,17.0,,,,
Bieber, Shane,669456,34.2,,27.5,21.6,3.4,13.4,,,,
Megill, Tylor,656731,54.7,,,21.2,15.7,8.4,,,,
Wacha, Michael,608379,29.8,13.1,13.2,,33.0,10.8,,,,
Kershaw, Clayton,477132,37.0,0.4,,43.7,1.3,17.6,,,,
Hendricks, Kyle,543294,20.5,36.7,,,39.0,3.7,,,,
Rea, Colin,607067,20.7,28.8,26.0,,,8.2,5.8,,10.5,
Paxton, James,572020,55.8,1.5,16.7,,6.7,19.3,,,,
Manoah, Alek,666201,29.0,28.2,,30.0,12.8,,,,,
Clevinger, Mike,605182,48.0,2.3,7.0,28.8,12.0,1.9,,,,
Miller, Bryce,682243,61.1,5.9,,20.0,4.4,1.1,,,7.5,
Manaea, Sean,640455,56.5,1.0,0.7,13.8,15.2,,,,12.7,
Gonsolin, Tony,664062,39.5,,,18.3,,15.1,27.2,,,
Canning, Griffin,656288,35.1,0.5,,32.4,20.1,12.0,,,,
Crawford, Kutter,676710,38.6,,29.8,4.5,,11.8,8.2,,7.0,
Germán, Domingo,593334,27.7,10.5,,,20.9,40.9,,,,
Rodriguez, Grayson,680570,47.6,,7.3,16.1,22.5,6.6,,,,
Civale, Aaron,650644,13.0,17.8,37.7,4.8,,25.1,1.8,,,
Wentz, Joey,666214,42.0,,25.9,,17.2,15.0,,,,
Williamson, Brandon,682227,36.4,,29.3,0.9,15.9,6.9,,,10.7,
Greene, Hunter,668881,55.2,,,39.1,5.7,,,,,
Abbott, Andrew,671096,50.4,,,,16.5,17.1,,,16.1,
Carrasco, Carlos,471911,31.9,10.3,0.4,17.8,29.9,9.3,,,0.4,
Peterson, David,656849,27.0,24.0,,21.2,19.1,8.5,,,,
Suárez, Ranger,624133,20.7,28.8,11.9,0.5,18.9,19.3,,,,
Severino, Luis,622663,45.8,1.8,14.9,18.5,19.0,,,,,
Musgrove, Joe,605397,24.5,5.4,20.4,14.5,11.4,23.9,,,,
Blackburn, Paul,621112,14.7,23.8,20.4,18.9,10.3,11.8,,,,
DeSclafani, Anthony,543101,12.5,27.8,,44.8,9.8,5.1,,,,
Houser, Adrian,605288,23.9,46.9,,16.4,4.4,8.4,,,,
Medina, Luis,665622,43.8,12.4,,23.0,8.5,12.4,,,,
Wainwright, Adam,425794,10.2,31.8,22.2,0.4,4.9,30.5,,,,
Martinez, Nick,607259,12.3,21.9,18.1,,28.0,19.7,,,,
Seabold, Connor,657756,54.3,,,31.4,12.7,1.6,,,,
Glasnow, Tyler,607192,42.0,,,36.6,0.3,21.1,,,,
Miller, Bobby,676272,26.5,21.3,,19.7,14.0,17.6,,,1.0,
Miley, Wade,489119,22.5,4.4,43.4,4.9,22.4,2.3,,,,
Cabrera, Edward,665795,27.8,9.6,,9.5,30.5,22.6,,,,
Wood, Alex,622072,,45.5,,25.6,28.9,,,,,
Syndergaard, Noah,592789,18.1,26.1,12.5,6.8,22.2,14.1,0.3,,,
Henry, Tommy,674072,49.0,,,12.7,19.3,19.1,,,,
Bielak, Brandon,656232,30.5,21.7,,11.8,24.9,11.2,,,,
Olson, Reese,681857,29.3,20.0,,31.6,14.0,5.1,,,,
Bradley, Taj,671737,43.7,,27.2,,12.1,17.0,,,,
Chirinos, Yonny,630023,1.5,47.2,,25.8,0.1,,25.5,,,
Flexen, Chris,623167,40.6,0.4,29.9,6.3,16.7,2.1,,,3.9,
Assad, Javier,665871,20.2,29.0,28.4,12.3,4.6,5.5,,,,
Houck, Tanner,656557,10.5,28.5,13.7,35.8,,,11.5,,,
Pérez, Eury,691587,43.6,,,32.4,10.6,13.4,,,,
Maeda, Kenta,628317,26.7,6.5,,32.9,,3.5,30.4,,,
Lambert, Peter,663567,44.7,,,21.3,19.4,2.8,,,11.7,
Wesneski, Hayden,669713,29.2,20.0,10.3,0.6,5.5,,,,34.5,
Quantrill, Cal,615698,1.2,44.9,27.2,,12.0,9.4,5.4,,,
Stripling, Ross,548389,23.8,9.9,,29.6,25.3,10.3,1.1,,,
Sale, Chris,519242,45.4,8.3,,35.4,10.9,,,,,
Junis, Jakob,596001,1.2,26.7,,63.3,8.8,,,,,
Bird, Jake,656234,,60.3,15.5,4.2,0.2,19.8,,,,
Pfaadt, Brandon,694297,46.9,7.0,,,13.0,6.5,,,26.7,
Curry, Xzavion,675540,48.5,,,35.4,4.1,12.0,,,,
Barria, Jaime,642545,32.2,4.3,,50.2,13.4,,,,,
Brito, Jhony,666745,15.9,32.5,,1.5,30.0,20.0,,,,
Fujinami, Shintaro,660261,56.0,0.3,16.5,1.4,,0.1,20.4,,5.3,
Toussaint, Touki,657053,24.9,25.6,,2.7,,30.1,16.7,,,
Strahm, Matt,621381,43.1,19.8,10.7,26.0,0.5,,,,,
Davies, Zach,605200,20.8,33.8,11.8,,26.4,6.9,,,0.2,
Muller, Kyle,666205,49.9,,,27.2,7.9,15.0,,,,
Boyd, Matthew,571510,38.6,7.0,,28.4,18.7,7.4,,,,
Lively, Ben,594902,33.1,21.2,5.7,22.7,9.5,7.7,,,,
King, Michael,650633,22.5,31.1,,,14.5,,,,31.9,
Irvin, Cole,608344,29.5,19.4,15.4,,21.2,14.5,,,,
Manning, Matt,666159,47.5,,,31.4,3.6,17.4,,,,
McGough, Scott,543518,50.4,,,8.7,,,40.9,,,
Contreras, Roansy,672710,40.2,,,44.3,3.9,11.7,,,,
Stratton, Chris,608717,54.7,0.1,,18.8,6.7,19.8,,,,
Winckowski, Josh,670174,4.5,37.5,36.8,15.9,5.3,,,,,
Beck, Tristan,663941,35.8,,,34.8,0.4,6.5,,,22.4,
Scholtens, Jesse,669947,43.8,,,37.3,3.0,15.8,,,,
Sánchez, Cristopher,650911,,47.0,,22.7,30.3,,,,,
Harris, Hogan,663687,46.9,,18.9,,20.3,13.9,,,,
Williams, Gavin,668909,56.2,,,21.8,4.9,17.2,,,,
