last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Woodruff, Brandon,605540,42.7,17.6,,10.7,21.3,7.7,,,,
May, Trevor,543507,40.6,0.3,,28.6,22.4,,,,8.0,
Lodolo, Nick,666157,46.4,5.3,,,12.5,35.8,,,,
Cosgrove, Tom,676680,24.3,21.2,,54.1,0.5,,,,,
Feltner, Ryan,663372,25.8,18.8,,31.6,16.4,7.4,,,,
Marte, Yunior,628708,7.1,48.7,,44.2,,,,,,
Soriano, George,666277,42.9,,,37.0,20.0,,,,,
Gaddis, Hunter,683769,38.0,,4.1,32.9,18.8,6.2,,,,
Karinchak, James,675916,57.8,,,,,42.2,,,,
White, Brendan,686839,32.2,7.4,,30.8,,,1.0,,28.6,
Martin, Chris,455119,33.3,14.4,36.2,1.8,,,10.0,,4.3,
Ramirez, Yohan,670990,0.2,72.4,,,3.9,,,,23.5,
Lamet, Dinelson,659275,24.0,27.4,,45.9,2.7,,,,,
Kelly, Joe,523260,16.1,28.0,,23.6,12.1,20.1,,,,
Anderson, Grant,681982,17.4,27.9,,50.0,4.7,,,,,
Armstrong, Shawn,542888,20.8,31.7,38.4,9.1,,,,,,
Ward, Thaddeus,663658,4.7,35.8,20.7,,0.7,,,,38.2,
Cueto, Johnny,456501,36.7,18.2,1.9,25.1,18.0,0.2,,,,
Alexander, Scott,518397,,78.0,,16.4,5.6,,,,,
Vest, Will,676684,54.1,,,35.2,10.7,,,,,
Covey, Dylan,592229,,41.0,28.3,20.9,4.3,,,,5.4,
Brigham, Jeff,656257,36.0,,21.0,,,,,,43.0,
Schreiber, John,670167,25.3,31.3,,35.2,8.1,,,,,
Edwards Jr., Carl,605218,63.4,0.7,,,23.5,12.4,,,,
Devenski, Chris,606965,29.6,,,13.6,51.3,0.2,,,5.2,
Turnbull, Spencer,605513,40.9,19.1,,22.3,10.8,6.8,,,,
Battenfield, Peyton,685410,44.6,,40.8,,3.8,10.7,,,,
Anderson, Nick,623433,48.4,1.6,,,,50.0,,,,
Chargois, JT,608638,8.9,51.6,,39.4,,,,,,
Romero, JoJo,668941,15.5,33.6,0.2,22.8,27.9,,,,,
Ramirez, Nick,598286,2.2,41.0,,1.6,26.9,0.2,,,28.2,
Machado, Andrés,600921,28.8,35.0,,13.6,22.7,,,,,
Brogdon, Connor,641401,32.5,,24.4,,43.0,,,,,
Kahnle, Tommy,592454,18.0,0.6,,2.6,78.9,,,,,
Avila, Pedro,658648,33.0,17.7,,,27.1,22.3,,,,
Alvarado, José,621237,,59.1,40.9,,,,,,,
Fairbanks, Pete,664126,46.5,,,52.6,,,0.9,,,
Cox, Austin,680735,49.3,,19.7,1.9,15.0,14.2,,,,
Abbott, Cory,676265,45.6,,,8.7,,45.6,,,,
Soriano, José,667755,25.5,27.2,,5.7,,41.6,,,,
Priester, Quinn,682990,19.3,32.7,,22.4,12.0,13.6,,,,
Faucher, Calvin,676534,,28.8,30.7,,,10.9,,,29.6,
Cordero, Jimmy,622772,0.6,70.1,,27.9,1.4,,,,,
Herrin, Tim,682120,41.8,5.3,,40.9,,12.0,,,,
Brebbia, John,605154,44.3,,,55.3,0.4,,,,,
Miller, Shelby,571946,56.8,,,18.3,,,24.9,,,
